device id,gender,age,latitude,longitude
-9104016315232997329,M,M39+,22.58,114.05
-9101962973644735950,F,F29-32,39.91,116.27
-9099079396602537376,M,M29-31,39.98,116.31
-9099020198116946276,M,M23-26,30.84,120.53
-9097747613312563754,F,F24-26,31.27,121.45
-9097034653448679048,M,M32-38,25.21,118.99
-9091167162131305309,F,F23-,31.15,121.67
-9089483344433000466,F,F24-26,40.01,119.9
-9087906272753688848,M,M23-26,31.2,121.63
-9086090884397998442,M,M32-38,31.16,120.5
-9084459603330511523,M,M23-26,25.15,118.92
-9082603524390907774,M,M39+,23.01,113.37
-9080896288558473700,F,F29-32,38.45,106.3
-9079829975393275981,M,M29-31,22.89,112.88
-9078072777038987342,M,M32-38,47.57,130.82
-9077887198036285845,F,F43+,30.52,114.25
-9073865363144386943,M,M32-38,23.14,113.27
-9073778680072759450,M,M32-38,38.69,116.12
-9073691973352277406,M,M39+,29.06,120.45
-9073407886058867537,M,M32-38,40.05,116.24
-9065499242152393701,M,M39+,38.66,100.93
-9063086701555824452,F,F29-32,35.1,112.54
-9063050641137392948,M,M32-38,30.36,113.44
-9061302922157907929,M,M32-38,31.31,120.67
-9058976870986022312,M,M32-38,32.31,109.71
-9056466099270832926,M,M23-26,34.2,108.89
-9056072777069455298,M,M32-38,35.52,104.51
-9054457302185579257,F,F43+,31.68,118.51
-9053654631606385950,M,M32-38,30.29,120.25
-9053104100300014541,M,M29-31,36.04,115.95
-9051999794177347007,F,F23-,43.86,87.59
-9051903700674902592,F,F29-32,37.08,111.53
-9051072804789579370,F,F33-42,31.12,121.37
-9048569852472274459,M,M29-31,31.34,121.63
-9047564326204993458,M,M29-31,38.04,115.86
-9045992881782847730,M,M32-38,25.2,118.54
-9040328040803744389,M,M29-31,24.33,109.41
-9039977746848315513,M,M32-38,24.31,109.41
-9036581639226036355,M,M39+,39.92,116.2
-9029031879981970389,M,M22-,31.38,116.87
-9027901567414334129,M,M32-38,26.08,119.19
-9026837627240789411,M,M22-,32.19,115.67
-9026466602628141268,M,M32-38,23.87,113.54
-9024928440594155512,M,M39+,22.59,113.94
-9024646837768278604,M,M22-,30.78,106.12
-9023589610046533587,M,M29-31,26.07,119.32
-9023340969881671283,M,M32-38,30.0,104.0
-9021919762378037352,M,M29-31,34.76,111.59
-9016520568121085116,M,M27-28,38.92,121.6
-9016203189439526332,M,M32-38,34.75,109.18
-9013523361805426923,M,M32-38,29.66,119.55
-9010083762703456770,M,M29-31,36.5,111.69
-9007130520032303963,M,M32-38,40.08,119.99
-9006215191839323114,F,F23-,22.93,113.36
-9005559252759452541,M,M32-38,38.45,112.74
-9004496616297939238,M,M39+,45.71,126.64
-9004417528223787238,M,M23-26,38.04,114.57
-9004407184336726341,M,M32-38,39.65,116.66
-9003202516657721840,M,M32-38,22.78,114.08
-9003024964574030998,M,M32-38,24.7,108.08
-9002991554887640531,M,M32-38,27.84,115.01
-8997809006079791853,M,M39+,33.38,120.13
-8997293247654606610,M,M32-38,36.87,118.05
-8994276590515059346,F,F24-26,38.98,117.39
-8991073781547653551,M,M39+,33.36,120.14
-8988906263287804933,M,M32-38,33.41,119.06
-8988236739917994437,F,F23-,33.93,114.9
-8985538397181268594,M,M32-38,31.28,121.64
-8983709377077180771,M,M32-38,26.09,119.34
-8982716826328646198,M,M32-38,24.86,102.84
-8982366420715998545,M,M29-31,36.39,119.79
-8982352756929975216,M,M39+,23.17,113.39
-8975029764598519238,M,M22-,34.61,113.7
-8974986767297961608,F,F24-26,29.28,117.22
-8973384433241532190,M,M29-31,34.3,108.64
-8972140861990904384,F,F24-26,30.5,114.4
-8971346337343942832,M,M32-38,29.7,121.31
-8971014817831329805,M,M39+,32.42,119.57
-8968592398578707495,M,M39+,33.4,115.07
-8962482402364708255,F,F33-42,23.03,113.3
-8961184005750348257,F,F43+,36.06,111.65
-8960445537264305967,M,M23-26,28.07,120.68
-8959679739567185197,M,M29-31,35.53,105.73
-8958391061069604375,M,M32-38,38.84,117.44
-8958035891076350586,M,M32-38,32.95,112.54
-8956808773099177602,M,M27-28,27.76,109.2
-8954961065804961706,F,F23-,22.95,113.38
-8953659000620340796,M,M32-38,22.81,108.44
-8952541363097602127,M,M27-28,40.01,116.32
-8948839399627029060,M,M39+,28.58,121.39
-8947020273194170017,M,M39+,37.92,115.29
-8946170371863017855,M,M23-26,25.65,102.28
-8945872678543264325,M,M32-38,30.59,114.27
-8943715402449667448,M,M23-26,34.67,112.44
-8940648450130833384,M,M27-28,38.54,114.99
-8939747905316946109,M,M32-38,34.33,107.61
-8939462103755067118,M,M32-38,39.4,117.0
-8939094338585711715,M,M32-38,24.29,117.75
-8936453850778720751,M,M22-,45.87,126.5
-8934401125724794127,F,F29-32,35.48,116.17
-8928891762474134416,M,M23-26,23.37,113.5
-8926408346984341352,M,M39+,28.83,106.77
-8926211772892695918,F,F29-32,22.91,114.01
-8924864729765930229,M,M23-26,32.04,117.11
-8924245943904643478,M,M32-38,33.89,115.77
-8923487724537535699,M,M32-38,31.62,107.38
-8923263615670715818,M,M32-38,30.53,114.33
-8921487966474574660,F,F23-,30.64,104.05
-8919181071157710577,M,M32-38,37.4,121.56
-8917713171207581412,M,M32-38,23.06,114.41
-8917235986002207528,F,F23-,46.54,125.12
-8917201840883756760,F,F24-26,30.84,111.71
-8917082994343888003,M,M32-38,34.27,117.14
-8916894184536072021,M,M32-38,25.73,110.6
-8916551590619494581,M,M29-31,25.82,113.02
-8909761222034417477,M,M23-26,24.78,113.58
-8909211451829719355,F,F33-42,26.67,119.52
-8908320909371449240,F,F23-,34.83,114.33
-8907202230497206945,M,M32-38,23.26,113.26
-8906889682563706361,M,M32-38,22.66,114.02
-8906726022063574557,M,M32-38,22.56,113.97
-8901665875331568163,M,M23-26,34.61,112.47
-8901164389292772713,M,M29-31,29.65,106.59
-8900063314692503273,M,M32-38,29.72,120.24
-8899015744609308022,M,M32-38,23.13,113.34
-8898506084854342426,M,M32-38,37.34,97.38
-8898050314299440536,M,M39+,37.56,121.34
-8897177753557458635,F,F24-26,33.02,112.51
-8897002098221859467,M,M32-38,26.57,107.98
-8896704548422631755,M,M32-38,30.62,104.14
-8896502089768323259,M,M22-,23.37,104.24
-8892004110917383868,M,M22-,31.2,121.44
-8891316860822587526,M,M32-38,32.04,118.78
-8890599647404223239,F,F33-42,27.09,115.01
-8889764892559893777,M,M23-26,23.38,116.75
-8887147774481730125,F,F23-,35.9,114.62
-8886768683305255724,M,M39+,32.01,118.76
-8884839904423158132,M,M22-,24.37,102.52
-8883568201986071964,M,M32-38,30.63,114.38
-8879972075568967700,M,M32-38,34.19,108.95
-8879446978327609562,M,M32-38,23.13,113.33
-8878683891449905355,M,M32-38,40.02,116.35
-8875215276974767268,M,M32-38,23.18,112.71
-8871528848542902708,F,F29-32,30.0,104.0
-8870725228944591313,M,M32-38,30.68,111.84
-8869437072449515609,F,F29-32,34.99,118.28
-8865310564646824401,F,F43+,22.53,113.38
-8864355021312886745,M,M23-26,30.19,120.19
-8863956351686735035,M,M32-38,35.12,118.34
-8863732923794308930,M,M23-26,23.14,113.28
-8863559279918991129,M,M22-,26.12,104.1
-8863197426277987290,M,M32-38,44.57,129.38
-8862601248883768302,M,M39+,43.91,125.3
-8861397240237281813,M,M32-38,34.01,105.3
-8859527139217286355,M,M32-38,28.25,112.94
-8858871830144947496,M,M22-,27.97,120.74
-8857070265364590135,F,F27-28,30.92,118.35
-8855013348899884209,M,M22-,32.24,106.45
-8853068148951584228,F,F33-42,33.6,119.14
-8852515990682117076,M,M32-38,40.67,109.87
-8851808198278168845,M,M23-26,28.05,119.12
-8850950587941729313,M,M32-38,30.67,104.04
-8850845475394433972,M,M22-,37.69,112.6
-8846428103592787827,F,F29-32,41.77,126.04
-8844181243406031148,M,M23-26,31.05,121.53
-8838418809649855137,M,M32-38,40.07,117.27
-8837690335209602975,M,M32-38,31.32,121.44
-8837433484602999418,M,M39+,41.79,123.38
-8837110330960569399,M,M22-,30.0,104.0
-8836874510946116463,M,M27-28,22.94,113.66
-8834947007957720525,M,M32-38,38.02,114.54
-8834497392288155463,M,M32-38,23.0,113.0
-8834133160074124417,M,M32-38,25.87,118.92
-8832309627745576047,M,M32-38,31.28,121.45
-8832229491608694071,M,M22-,34.8,113.65
-8830185036331163679,M,M32-38,35.1,112.59
-8825326766212060010,M,M22-,24.34,109.44
-8823489781886506549,M,M23-26,40.02,116.55
-8823311085735214383,M,M23-26,31.97,118.72
-8821315644463021716,F,F23-,30.54,114.36
-8818491488020910083,M,M39+,43.8,87.61
-8818349806372248277,F,F33-42,29.54,106.53
-8817076178796927619,M,M27-28,25.99,104.9
-8816848223970399214,M,M32-38,39.8,117.13
-8815933542111495170,M,M32-38,30.33,106.92
-8813322120453325119,M,M29-31,31.04,120.64
-8810677098572112511,M,M27-28,43.88,125.37
-8810315790894903509,M,M32-38,23.04,113.1
-8809342555718506434,M,M32-38,37.02,118.51
-8808776377817703092,M,M22-,26.29,107.51
-8808132407616349440,M,M39+,33.45,119.78
-8807052735630781042,M,M32-38,25.38,112.19
-8805654710820155315,M,M32-38,37.86,112.51
-8805468404948884459,M,M32-38,24.51,117.73
-8802316604005480852,M,M29-31,22.72,114.16
-8800095656132745183,F,F24-26,29.25,112.15
-8798894394747023419,F,F33-42,31.28,120.61
-8798890819368536484,M,M22-,25.01,102.76
-8795087527245424684,M,M23-26,39.91,119.55
-8793764609497122615,M,M32-38,41.13,123.04
-8793551595241909454,M,M39+,27.85,106.36
-8792555296284231867,F,F24-26,36.72,116.9
-8790436258783000383,M,M32-38,30.68,104.11
-8789739104776090434,M,M22-,27.88,112.86
-8787759144742154093,M,M32-38,31.14,121.34
-8785250580011204240,M,M29-31,31.83,119.98
-8784472699590155440,M,M29-31,36.0,116.12
-8783851385933673163,F,F33-42,32.11,118.81
-8778526176668889965,M,M39+,33.6,119.01
-8778262627556792908,M,M23-26,40.09,113.35
-8777268816216242215,M,M32-38,23.16,114.22
-8775869361605414916,M,M32-38,39.92,116.53
-8773771540617896237,M,M32-38,39.65,117.22
-8773381416821430111,M,M32-38,23.67,114.7
-8773114999444757011,M,M39+,39.86,116.73
-8771755865278605228,M,M32-38,36.97,117.19
-8768763414768093881,M,M39+,46.56,127.0
-8765329793245217489,F,F29-32,23.16,108.27
-8763697934413004929,M,M32-38,26.79,117.8
-8763359522680232619,M,M32-38,21.48,109.12
-8755360321217593069,M,M32-38,39.95,117.74
-8755157563619250905,M,M32-38,30.83,111.79
-8754843952055811186,F,F33-42,33.19,120.09
-8752079585505607600,M,M32-38,39.84,116.5
-8750365830993494206,F,F29-32,19.26,110.47
-8748399916550723521,M,M22-,30.49,108.06
-8745142145795159075,M,M32-38,22.45,113.79
-8744445395984602463,M,M32-38,29.6,106.3
-8742715434822943881,M,M32-38,22.56,114.23
-8740739276825048260,M,M29-31,28.15,112.14
-8740159811251460690,M,M32-38,39.59,121.31
-8736225111063189156,M,M29-31,22.77,114.08
-8730307490994656907,M,M32-38,32.34,121.19
-8729808929347730608,M,M27-28,34.27,108.91
-8718128198993547784,F,F33-42,26.5,101.73
-8708570969129914940,M,M23-26,35.1,112.68
-8706288933198289540,M,M32-38,36.7,119.18
-8705128918819769812,F,F24-26,41.74,123.23
-8700919126757489332,F,F29-32,39.3,112.45
-8696199783817428420,M,M23-26,32.49,116.91
-8695560153948577736,M,M29-31,39.99,116.32
-8693631930247964633,M,M32-38,24.27,116.11
-8691841193582852771,M,M32-38,38.98,117.32
-8690751061394472455,M,M32-38,34.24,108.89
-8688947555036691142,M,M29-31,30.0,104.0
-8688870843246654685,F,F43+,30.12,104.64
-8687184140727148948,F,F23-,30.21,115.08
-8686980665310410150,M,M39+,30.94,118.77
-8686818469443654610,M,M32-38,39.76,116.45
-8686507412565143385,M,M32-38,39.09,116.59
-8685661683173390579,M,M29-31,27.88,113.1
-8684557922443094942,M,M32-38,22.53,113.93
-8683600556219660355,M,M32-38,25.09,102.73
-8682839388877719962,M,M32-38,31.76,119.57
-8681748250668342973,F,F24-26,29.84,106.07
-8680475959139734784,M,M32-38,24.52,117.62
-8676244203426339853,M,M32-38,41.12,123.09
-8674122984613206969,M,M32-38,30.32,120.12
-8673186272347802118,M,M32-38,31.19,121.43
-8672286781298006637,F,F33-42,26.1,117.82
-8671498412077945061,F,F29-32,35.23,113.21
-8669553091125516893,M,M32-38,26.84,112.65
-8665842985387874656,M,M23-26,30.51,114.42
-8664747945483213848,M,M23-26,22.97,113.88
-8662000544566942657,M,M39+,30.0,104.0
-8660905300048853580,F,F24-26,31.45,121.11
-8660734983386592545,M,M32-38,31.53,119.05
-8658253277334372316,F,F23-,50.25,127.49
-8655756063868276440,M,M32-38,28.31,113.84
-8654495758535574249,M,M32-38,37.74,112.57
-8653856161628790035,M,M23-26,31.67,120.34
-8649941211508968787,M,M39+,28.89,119.82
-8648296780626967001,M,M39+,31.99,118.73
-8648161022526762007,M,M32-38,28.21,112.95
-8648070044317879633,M,M32-38,31.3,121.31
-8647679566219018466,M,M32-38,22.7,114.28
-8646229784190295092,M,M39+,39.26,115.8
-8643069289560656826,M,M27-28,35.3,103.84
-8640137724042537581,M,M39+,36.66,120.3
-8640078209044694509,F,F24-26,39.79,116.47
-8639858887452900639,M,M32-38,31.96,118.84
-8639380657548337929,F,F33-42,30.0,104.0
-8637732931218583998,M,M23-26,39.12,117.18
-8635592876701356344,M,M23-26,39.9,116.49
-8632896479196947027,M,M32-38,32.93,117.31
-8630301921846095669,M,M32-38,24.52,117.67
-8629173342389681596,M,M32-38,34.76,113.76
-8628122401019318085,M,M32-38,31.14,121.4
-8626255238350395241,M,M32-38,29.52,106.52
-8625392267392656937,M,M32-38,23.76,114.68
-8619523501481004899,M,M32-38,33.64,119.0
-8616708320294665353,M,M39+,34.31,108.96
-8616125306271115643,M,M32-38,30.75,111.34
-8610774192663158083,M,M22-,34.49,109.5
-8610234780667669809,M,M23-26,22.91,113.2
-8610005888307299514,M,M32-38,31.27,121.6
-8609987852497337258,F,F23-,32.04,118.91
-8609733064109149777,M,M23-26,22.06,106.73
-8608886046487824704,M,M32-38,22.71,109.27
-8607164146358691545,F,F33-42,32.41,119.43
-8607084646097623781,M,M23-26,30.63,104.07
-8605935504577608982,M,M32-38,30.75,107.27
-8605831892007161560,M,M32-38,28.19,112.97
-8604914379808588248,F,F24-26,30.36,113.43
-8604662774549943225,M,M32-38,24.73,109.28
-8604324115386193037,F,F27-28,35.42,117.83
-8602521116049272708,M,M32-38,43.74,127.34
-8601232091637467202,M,M32-38,42.15,123.47
-8599733890918814220,M,M32-38,25.66,114.75
-8599058275503887484,M,M39+,39.1,117.22
-8598598816143489901,F,F29-32,29.89,114.27
-8594042313511750762,M,M32-38,24.6,118.01
-8590956797945257098,M,M32-38,38.42,114.56
-8590105612498154906,M,M32-38,38.01,114.47
-8585799136464655303,F,F33-42,25.05,102.66
-8584986353759211559,M,M23-26,28.69,115.89
-8584975363996210662,M,M23-26,37.18,114.6
-8583782175092758740,M,M23-26,29.36,104.77
-8582432826296376066,F,F23-,47.31,130.28
-8580499855440491255,F,F29-32,21.72,100.74
-8579738459946122788,M,M32-38,30.95,121.22
-8579276548744669946,F,F23-,28.58,121.37
-8578314071758892384,M,M32-38,31.8,117.21
-8577876217493424987,M,M23-26,34.22,108.93
-8576679128232173396,F,F23-,21.5,109.15
-8576019150536309701,M,M32-38,37.51,122.11
-8571367496258244945,M,M32-38,30.52,114.33
-8567982055258471777,F,F33-42,23.04,113.12
-8567726597533065261,M,M23-26,31.03,121.29
-8562311995574262654,F,F33-42,40.07,116.42
-8559798643764032514,M,M32-38,23.33,113.11
-8557418256364463823,M,M32-38,40.3,116.3
-8555514916080103708,M,M22-,23.27,113.21
-8549486473279605026,F,F23-,25.8,114.89
-8549024429592561663,M,M22-,30.62,104.13
-8548626011730513103,M,M39+,30.5,105.58
-8547653731154547300,F,F24-26,31.26,121.43
-8545184470818576379,M,M39+,36.88,120.51
-8544905747922375062,M,M29-31,35.4,116.92
-8542453227605286395,M,M22-,25.62,119.45
-8537986049457432446,M,M32-38,34.74,112.99
-8537406599487702190,M,M32-38,31.27,120.62
-8536979210429233393,M,M32-38,22.59,113.96
-8535807774701344439,F,F29-32,25.09,117.01
-8534298559785889037,M,M32-38,34.17,108.82
-8532926019621136946,M,M39+,32.39,119.48
-8532200769734003959,M,M23-26,31.95,118.87
-8530352183215408878,M,M22-,35.63,111.08
-8529843450063722724,M,M32-38,22.72,109.82
-8529359543457542865,F,F33-42,32.02,118.76
-8526386245397858859,M,M32-38,30.7,114.35
-8517919127481366703,M,M32-38,25.63,116.57
-8517854158496965893,M,M39+,34.66,109.23
-8517301287380015038,M,M32-38,39.79,116.52
-8516723307766352993,M,M32-38,38.91,117.27
-8514893938404519939,M,M32-38,26.25,119.59
-8514788858460145125,M,M32-38,29.54,106.5
-8511370471119417498,M,M32-38,28.85,121.12
-8508063083301453251,F,F29-32,28.18,112.92
-8507419484224291080,F,F24-26,23.2,113.32
-8505916573004807437,M,M23-26,31.0,103.97
-8505422163126095487,M,M32-38,46.81,130.36
-8504879428986711207,M,M32-38,39.88,116.44
-8504705025013497084,F,F33-42,39.66,118.16
-8500750876542023717,M,M32-38,25.13,102.73
-8499903549442180600,M,M23-26,39.99,116.62
-8497991295549635291,M,M29-31,35.38,103.87
-8494349511781250643,M,M32-38,35.14,113.79
-8491785752637389589,M,M22-,30.89,121.89
-8488067985183720072,M,M32-38,23.0,113.35
-8487328774089016054,M,M32-38,29.56,106.59
-8485486012986553301,M,M29-31,27.83,113.13
-8482705264287218465,F,F29-32,27.73,116.14
-8482331957185212866,F,F33-42,36.07,111.5
-8481072460755388192,M,M32-38,34.72,113.0
-8480612723734037982,M,M39+,33.47,119.79
-8479657745295088782,M,M23-26,31.64,117.26
-8478765827760456683,M,M32-38,41.25,123.18
-8475614001582282187,M,M39+,29.88,121.58
-8474112585672100103,M,M29-31,23.09,113.53
-8471841105903396532,F,F23-,40.04,116.4
-8471463821663086571,M,M32-38,38.06,114.46
-8471325013826026159,M,M32-38,22.95,109.76
-8471076543896155814,M,M22-,33.4,120.17
-8471054182431559078,F,F33-42,41.59,120.46
-8470598042595754892,M,M23-26,37.86,113.57
-8469609588260229483,F,F33-42,36.31,117.73
-8468252334307275584,M,M32-38,32.7,115.48
-8467903150068667042,M,M32-38,22.81,108.44
-8467820458668511930,F,F23-,25.61,103.82
-8464896532250596789,M,M23-26,34.68,112.41
-8458894491194603748,M,M32-38,39.73,116.12
-8455790152922017229,M,M39+,41.83,123.89
-8455639999412361373,M,M39+,40.73,120.98
-8454771594966218929,M,M23-26,44.59,129.68
-8451478611974952809,F,F33-42,31.44,121.3
-8448840466355913965,M,M32-38,34.7,112.45
-8448086333833766953,M,M32-38,34.23,108.96
-8444760144209615253,M,M23-26,22.84,108.31
-8444032399793380935,M,M32-38,39.57,116.76
-8440630265709278361,M,M29-31,30.0,104.0
-8436537820621867648,M,M23-26,30.3,120.38
-8435065095387958625,M,M22-,35.29,117.89
-8432750053310927519,M,M32-38,31.62,113.82
-8432290048346263952,M,M32-38,31.18,117.02
-8430899495802126450,M,M39+,28.9,120.09
-8430317516475702898,F,F33-42,22.6,114.25
-8429539821711595368,F,F29-32,37.77,115.09
-8428067374508951274,M,M29-31,23.29,108.03
-8427317997901956475,M,M32-38,37.44,118.66
-8426996949299283537,M,M39+,25.48,119.07
-8426834882589918052,M,M32-38,30.67,103.98
-8426828988271256996,M,M22-,22.84,108.23
-8423229336196371105,M,M39+,46.61,125.12
-8421826674292478768,M,M29-31,34.61,108.94
-8417912014219389876,M,M39+,25.02,102.71
-8417909748264594049,M,M32-38,29.75,106.49
-8414493380278013374,F,F33-42,37.19,112.18
-8413658880310402705,M,M39+,30.76,120.77
-8413624744852600356,M,M32-38,23.22,113.09
-8412643697165833052,M,M39+,34.32,108.94
-8412014160916036357,M,M32-38,31.23,121.53
-8410664755819921358,M,M32-38,34.02,118.52
-8408713932507435764,M,M29-31,30.63,104.02
-8406077343168461691,F,F33-42,43.94,81.34
-8405214478765229919,M,M32-38,34.36,112.19
-8402933489768991067,F,F23-,38.5,114.98
-8399845814997642113,M,M32-38,30.75,114.9
-8399636225963180291,M,M23-26,31.18,117.93
-8399321111200837451,M,M23-26,24.68,118.14
-8399200018323482307,M,M27-28,38.54,106.34
-8397966325970790536,F,F29-32,40.15,117.18
-8397927529026584879,M,M32-38,28.19,113.03
-8397256519605905783,M,M23-26,35.4,114.6
-8396990124102864301,F,F29-32,30.6,114.3
-8392768189424701241,M,M32-38,30.0,104.0
-8390528605652776303,F,F23-,30.58,114.33
-8389765333308859481,M,M29-31,27.9,112.92
-8388850687532084082,M,M32-38,23.89,100.1
-8386469254168045973,M,M29-31,41.78,123.39
-8385563412194178529,M,M32-38,40.22,116.24
-8384760667389982203,M,M29-31,30.63,114.24
-8382476895154120107,M,M39+,31.21,121.49
-8381874657783063777,M,M27-28,27.99,120.66
-8379430671544473185,M,M32-38,28.25,121.13
-8378704684140683044,M,M32-38,35.49,112.81
-8375018069988037384,F,F43+,40.03,116.28
-8374303025330777265,F,F43+,30.74,115.67
-8371444428465225301,M,M32-38,24.52,118.05
-8369554081907970517,M,M32-38,26.88,112.6
-8368709434366126335,M,M23-26,22.7,110.35
-8368618057354517770,M,M32-38,24.99,102.77
-8367857271888126570,M,M39+,29.6,106.52
-8367620592223467526,F,F33-42,36.18,111.7
-8365968811472311530,M,M32-38,30.58,104.06
-8365442983660836230,M,M23-26,32.69,109.02
-8360602133028322168,M,M23-26,24.59,118.57
-8357181837122863842,M,M29-31,22.53,114.02
-8353633601469212866,F,F23-,30.04,115.12
-8352606347863185857,M,M23-26,27.11,114.98
-8347088179421370484,F,F23-,30.59,103.52
-8345111523099601124,F,F24-26,31.2,121.61
-8345021609468277416,M,M39+,25.45,99.26
-8343106416205055124,M,M22-,34.29,119.25
-8340828859668515885,M,M32-38,38.81,117.85
-8340098378141155823,F,F29-32,34.74,111.92
-8336892249288703183,M,M32-38,30.62,116.91
-8335940766734689444,M,M39+,29.38,120.04
-8334566785815095188,M,M32-38,39.91,116.45
-8330768594253487769,M,M23-26,32.08,119.35
-8326795566055360200,M,M32-38,31.22,121.63
-8323972581689757432,F,F33-42,30.25,120.17
-8322119955275642020,M,M32-38,22.62,114.03
-8320233521923968941,M,M32-38,43.86,125.24
-8319263843844783308,M,M32-38,28.24,114.93
-8314392160977394126,M,M32-38,41.12,121.12
-8314251515469441293,M,M29-31,23.76,109.23
-8313023600775166093,M,M39+,36.14,114.13
-8310015195539444492,M,M32-38,35.52,104.51
-8309820402004676798,M,M29-31,40.0,116.48
-8309521033676465199,F,F29-32,34.75,109.18
-8309175053894592557,M,M23-26,29.93,121.79
-8309150638608488978,M,M22-,29.68,116.01
-8308855320293590910,F,F23-,23.45,113.3
-8308623801383300796,M,M23-26,26.08,119.23
-8306796565967918369,F,F33-42,27.66,113.49
-8304882083777791601,M,M32-38,34.54,113.82
-8304122747977707239,M,M32-38,31.3,121.12
-8301885848085398624,M,M32-38,22.57,113.96
-8301650690669786822,F,F33-42,32.2,119.41
-8301240168600926961,M,M39+,35.88,119.98
-8300682027918592777,M,M32-38,43.85,126.56
-8300573047674278069,M,M29-31,34.77,113.44
-8300298884909497626,M,M22-,29.67,116.01
-8299634280717427374,M,M32-38,36.74,118.2
-8298894765634993743,M,M23-26,25.45,119.0
-8296813404897347929,M,M32-38,22.85,108.33
-8295503311185390259,M,M32-38,22.67,114.13
-8295222463446743926,M,M39+,38.21,106.36
-8292173949994693737,F,F23-,36.51,118.55
-8291987701493342453,M,M29-31,30.85,120.92
-8290009579228585757,M,M22-,30.63,114.24
-8288726028568984050,M,M23-26,22.33,110.38
-8288107429764907074,M,M22-,37.75,115.68
-8286584469185877544,M,M23-26,32.04,118.86
-8283831035232336737,F,F33-42,37.74,115.69
-8283117190944282465,M,M32-38,36.87,117.73
-8282411334911930099,M,M32-38,22.6,114.11
-8275146541906902276,F,F24-26,39.07,117.28
-8273040339334491550,M,M32-38,28.07,120.5
-8266060474638462606,M,M32-38,27.82,113.09
-8264412248895169074,M,M22-,29.53,106.61
-8263887049499053297,M,M32-38,42.63,126.26
-8263208485823447044,M,M29-31,35.72,116.4
-8258637437407986570,F,F29-32,27.56,116.64
-8256371947603165917,F,F24-26,36.55,114.58
-8254125094305069701,M,M23-26,30.53,117.03
-8253598202904686280,M,M32-38,27.52,120.53
-8251164390418157258,M,M32-38,35.35,116.68
-8249526588670832178,M,M32-38,40.14,118.31
-8248313027338435677,M,M32-38,30.75,108.42
-8246059292821443986,M,M32-38,22.83,114.17
-8245326936262484964,M,M32-38,23.9,115.72
-8241952332260662574,M,M29-31,37.2,116.47
-8240927305918170702,M,M32-38,26.08,113.93
-8238018502287481038,M,M32-38,37.85,112.57
-8234804340714405722,M,M32-38,31.36,121.38
-8234463151245930508,F,F33-42,25.94,113.26
